sample_name	original_sample_label	sample_label	project_id	initial_health_status	final_health_status	location_id	rootstock_id	sampling_compartment_id	treatment_id	time_since_planting	host_species	scion_cultivar	soil_texture	soil_type	sampling_depth	experimental_setting
	Past-1		14	sick					11							
	Past-2		14	sick					11							
	Past-3		14	sick					11							
	Past-4		14	sick					11							
	Past-5		14	sick					11							
	Past-6		14	sick					11							
	BjSa-1		14	sick					12							
	BjSa-2		14	sick					12							
	BjSa-4		14	sick					12							
	BjSa-5		14	sick					12							
	BjSa-6		14	sick					12							
	BjSa-7		14	sick					12							
	Replant-1		14	sick					1							
	Replant-2		14	sick					1							
	Replant-3		14	sick					1							
	Replant-5		14	sick					1							
	Replant-6		14	sick					1							
	Replant-7		14	sick					1							
