sequencing_output_label	project_id	sample_id	sequencing_run_id	amplicon_type_id	srr	fastq1	fastq2	notes	zzz_legacy_library_id
	14	308	4	8		Past-1_S350_L001_R1_001.fastq.gz	Past-1_S350_L001_R2_001.fastq.gz		
	14	309	4	8		Past-2_S351_L001_R1_001.fastq.gz	Past-2_S351_L001_R2_001.fastq.gz		
	14	310	4	8		Past-3_S352_L001_R1_001.fastq.gz	Past-3_S352_L001_R2_001.fastq.gz		
	14	311	4	8		Past-4_S353_L001_R1_001.fastq.gz	Past-4_S353_L001_R2_001.fastq.gz		
	14	312	4	8		Past-5_S354_L001_R1_001.fastq.gz	Past-5_S354_L001_R2_001.fastq.gz		
	14	313	4	8		Past-6_S355_L001_R1_001.fastq.gz	Past-6_S355_L001_R2_001.fastq.gz		
	14	314	4	8		BjSa-1_S356_L001_R1_001.fastq.gz	BjSa-1_S356_L001_R2_001.fastq.gz		
	14	315	4	8		BjSa-2_S357_L001_R1_001.fastq.gz	BjSa-2_S357_L001_R2_001.fastq.gz		
	14	316	4	8		BjSa-4_S358_L001_R1_001.fastq.gz	BjSa-4_S358_L001_R2_001.fastq.gz		
	14	317	4	8		BjSa-5_S359_L001_R1_001.fastq.gz	BjSa-5_S359_L001_R2_001.fastq.gz		
	14	318	4	8		BjSa-6_S360_L001_R1_001.fastq.gz	BjSa-6_S360_L001_R2_001.fastq.gz		
	14	319	4	8		BjSa-7_S361_L001_R1_001.fastq.gz	BjSa-7_S361_L001_R2_001.fastq.gz		
	14	320	4	8		Replant-1_S362_L001_R1_001.fastq.gz	Replant-1_S362_L001_R2_001.fastq.gz		
	14	321	4	8		Replant-2_S363_L001_R1_001.fastq.gz	Replant-2_S363_L001_R2_001.fastq.gz		
	14	322	4	8		Replant-3_S364_L001_R1_001.fastq.gz	Replant-3_S364_L001_R2_001.fastq.gz		
	14	323	4	8		Replant-5_S365_L001_R1_001.fastq.gz	Replant-5_S365_L001_R2_001.fastq.gz		
	14	324	4	8		Replant-6_S366_L001_R1_001.fastq.gz	Replant-6_S366_L001_R2_001.fastq.gz		
	14	325	4	8		Replant-7_S367_L001_R1_001.fastq.gz	Replant-7_S367_L001_R2_001.fastq.gz		
	14	308	4	12		Past.1_S10_L001_R1_001.fastq.gz	Past.1_S10_L001_R2_001.fastq.gz		
	14	309	4	12		Past.2_S10_L001_R1_001.fastq.gz	Past.2_S10_L001_R2_001.fastq.gz		
	14	310	4	12		Past.3_S10_L001_R1_001.fastq.gz	Past.3_S10_L001_R2_001.fastq.gz		
	14	311	4	12		Past.4_S10_L001_R1_001.fastq.gz	Past.4_S10_L001_R2_001.fastq.gz		
	14	312	4	12		Past.5_S10_L001_R1_001.fastq.gz	Past.5_S10_L001_R2_001.fastq.gz		
	14	313	4	12		Past.6_S10_L001_R1_001.fastq.gz	Past.6_S10_L001_R2_001.fastq.gz		
	14	314	4	12		BjSa.1_S10_L001_R1_001.fastq.gz	BjSa.1_S10_L001_R2_001.fastq.gz		
	14	315	4	12		BjSa.2_S10_L001_R1_001.fastq.gz	BjSa.2_S10_L001_R2_001.fastq.gz		
	14	316	4	12		BjSa.4_S10_L001_R1_001.fastq.gz	BjSa.4_S10_L001_R2_001.fastq.gz		
	14	317	4	12		BjSa.5_S10_L001_R1_001.fastq.gz	BjSa.5_S10_L001_R2_001.fastq.gz		
	14	318	4	12		BjSa.6_S10_L001_R1_001.fastq.gz	BjSa.6_S10_L001_R2_001.fastq.gz		
	14	319	4	12		BjSa.7_S10_L001_R1_001.fastq.gz	BjSa.7_S10_L001_R2_001.fastq.gz		
	14	320	4	12		Replant.1_S10_L001_R1_001.fastq.gz	Replant.1_S10_L001_R2_001.fastq.gz		
	14	321	4	12		Replant.2_S10_L001_R1_001.fastq.gz	Replant.2_S10_L001_R2_001.fastq.gz		
	14	322	4	12		Replant.3_S10_L001_R1_001.fastq.gz	Replant.3_S10_L001_R2_001.fastq.gz		
	14	323	4	12		Replant.5_S10_L001_R1_001.fastq.gz	Replant.5_S10_L001_R2_001.fastq.gz		
	14	324	4	12		Replant.6_S10_L001_R1_001.fastq.gz	Replant.6_S10_L001_R2_001.fastq.gz		
	14	325	4	12		Replant.7_S10_L001_R1_001.fastq.gz	Replant.7_S10_L001_R2_001.fastq.gz		
