library_id	library_label	sample_id	amplicon_type_id	notes	srx	zzz_legacy_library_id
23		36	11		SRX28568219	59
22		37	11		SRX28568220	58
21		38	11		SRX28568221	57
20		39	11		SRX28568222	56
19		40	11		SRX28568223	55
80		41	7		SRX28568162	116
79		42	7		SRX28568163	115
68		43	7		SRX28568174	104
57		44	7		SRX28568185	93
46		45	7		SRX28568196	82
35		46	7		SRX28568207	71
24		47	7		SRX28568218	60
13		48	7		SRX28568229	49
2		49	7		SRX28568240	38
1		50	7		SRX28568241	37
78		51	7		SRX28568164	114
77		52	7		SRX28568165	113
76		53	7		SRX28568166	112
75		54	7		SRX28568167	111
74		55	7		SRX28568168	110
73		56	7		SRX28568169	109
72		57	7		SRX28568170	108
71		58	7		SRX28568171	107
70		59	7		SRX28568172	106
69		60	7		SRX28568173	105
67		61	7		SRX28568175	103
66		62	7		SRX28568176	102
65		63	7		SRX28568177	101
64		64	7		SRX28568178	100
63		65	7		SRX28568179	99
62		66	7		SRX28568180	98
61		67	7		SRX28568181	97
60		68	7		SRX28568182	96
59		69	7		SRX28568183	95
58		70	7		SRX28568184	94
18		71	11		SRX28568224	54
17		72	11		SRX28568225	53
16		73	11		SRX28568226	52
15		74	11		SRX28568227	51
14		75	11		SRX28568228	50
7		76	11		SRX28568235	43
6		77	11		SRX28568236	42
5		78	11		SRX28568237	41
4		79	11		SRX28568238	40
3		80	11		SRX28568239	39
56		81	7		SRX28568186	92
55		82	7		SRX28568187	91
54		83	7		SRX28568188	90
53		84	7		SRX28568189	89
52		85	7		SRX28568190	88
51		86	7		SRX28568191	87
50		87	7		SRX28568192	86
49		88	7		SRX28568193	85
48		89	7		SRX28568194	84
47		90	7		SRX28568195	83
45		91	7		SRX28568197	81
44		92	7		SRX28568198	80
43		93	7		SRX28568199	79
42		94	7		SRX28568200	78
41		95	7		SRX28568201	77
40		96	7		SRX28568202	76
39		97	7		SRX28568203	75
38		98	7		SRX28568204	74
37		99	7		SRX28568205	73
36		100	7		SRX28568206	72
34		101	7		SRX28568208	70
33		102	7		SRX28568209	69
32		103	7		SRX28568210	68
31		104	7		SRX28568211	67
30		105	7		SRX28568212	66
29		106	7		SRX28568213	65
28		107	7		SRX28568214	64
27		108	7		SRX28568215	63
26		109	7		SRX28568216	62
25		110	7		SRX28568217	61
12		111	11		SRX28568230	48
11		112	11		SRX28568231	47
10		113	11		SRX28568232	46
9		114	11		SRX28568233	45
8		115	11		SRX28568234	44
