#sample-id	old_sample_id	village	BSFF	treatment	DNA	repetition	description
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1390-01-HC-16-K6a	HC-16-K6a	karkom	yes	KARKOM_BSFF	16S	A	1390-01-HC-16-K6a
1390-02-HC-16-K6b	HC-16-K6b	karkom	yes	KARKOM_BSFF	16S	B	1390-02-HC-16-K6b
1390-03-HC-16-K6c	HC-16-K6c	karkom	yes	KARKOM_BSFF	16S	C	1390-03-HC-16-K6c
1390-04-HC-16-K6d	HC-16-K6d	karkom	yes	KARKOM_BSFF	16S	D	1390-04-HC-16-K6d
1390-05-HC-16-c	HC-16-c-	control	control	NULL_CONTROL	16S	CONTROL	1390-05-HC-16-c-
1390-06-HC-16-cplus	HC-16-c+	control	control	POSITIVE_CONTROL	16S	CONTROL	1390-06-HC-16-cplus
1390-07-HC-16-h2o	HC-16-h2o	control	control	H20_CONTROL	16S	CONTROL	1390-07-HC-16-h2o
1390-08-HC-16-K8a	HC-16-K8a	karkom	no	KARKOM_NO_BSFF	16S	A	1390-08-HC-16-K8a
1390-09-HC-16-K8b	HC-16-K8b	karkom	no	KARKOM_NO_BSFF	16S	B	1390-09-HC-16-K8b
1390-10-HC-16-K8c	HC-16-K8c	karkom	no	KARKOM_NO_BSFF	16S	C	1390-10-HC-16-K8c
1390-11-HC-16-K8d	HC-16-K8d	karkom	no	KARKOM_NO_BSFF	16S	D	1390-11-HC-16-K8d
1390-12-HC-16-T6a	HC-16-T6a	tsur_moshe	yes	TSUR_MOSHE_BSFF	16S	A	1390-12-HC-16-T6a
1390-13-HC-16-T6b	HC-16-T6b	tsur_moshe	yes	TSUR_MOSHE_BSFF	16S	B	1390-13-HC-16-T6b
1390-14-HC-16-T6c	HC-16-T6c	tsur_moshe	yes	TSUR_MOSHE_BSFF	16S	C	1390-14-HC-16-T6c
1390-15-HC-16-T6d	HC-16-T6d	tsur_moshe	yes	TSUR_MOSHE_BSFF	16S	D	1390-15-HC-16-T6d
1390-16-HC-16-T8a	HC-16-T8a	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	16S	A	1390-16-HC-16-T8a
1390-17-HC-16-T8b	HC-16-T8b	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	16S	B	1390-17-HC-16-T8b
1390-18-HC-16-T8c	HC-16-T8c	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	16S	C	1390-18-HC-16-T8c
1390-19-HC-16-T8d	HC-16-T8d	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	16S	D	1390-19-HC-16-T8d
1390-20-HC-16-B6a	HC-16-H6a	hodaya	yes	HODAYA_BSFF	16S	A	1390-20-HC-16-B6a
1390-21-HC-16-B6b	HC-16-H6b	hodaya	yes	HODAYA_BSFF	16S	B	1390-21-HC-16-B6b
1390-22-HC-16-B6c	HC-16-H6c	hodaya	yes	HODAYA_BSFF	16S	C	1390-22-HC-16-B6c
1390-23-HC-16-B6d	HC-16-H6d	hodaya	yes	HODAYA_BSFF	16S	D	1390-23-HC-16-B6d
1390-24-HC-16-B8a	HC-16-H8a	hodaya	no	HODAYA_NO_BSFF	16S	A	1390-24-HC-16-B8a
1390-25-HC-16-B8b	HC-16-H8b	hodaya	no	HODAYA_NO_BSFF	16S	B	1390-25-HC-16-B8b
1390-26-HC-16-B8c	HC-16-H8c	hodaya	no	HODAYA_NO_BSFF	16S	C	1390-26-HC-16-B8c
1390-27-HC-16-B8d	HC-16-H8d	hodaya	no	HODAYA_NO_BSFF	16S	D	1390-27-HC-16-B8d
1390-28-HC-16-h6a	HC-16-B6a	beit_itschak	yes	BEIT_ITSCHAK_BSFF	16S	A	1390-28-HC-16-h6a
1390-29-HC-16-h6b	HC-16-B6b	beit_itschak	yes	BEIT_ITSCHAK_BSFF	16S	B	1390-29-HC-16-h6b
1390-30-HC-16-h6c	HC-16-B6c	beit_itschak	yes	BEIT_ITSCHAK_BSFF	16S	C	1390-30-HC-16-h6c
1390-31-HC-16-h6d	HC-16-B6d	beit_itschak	yes	BEIT_ITSCHAK_BSFF	16S	D	1390-31-HC-16-h6d
1390-32-HC-16-h8a	HC-16-B8a	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	16S	A	1390-32-HC-16-h8a
1390-33-HC-16-h8b	HC-16-B8b	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	16S	B	1390-33-HC-16-h8b
1390-34-HC-16-h8c	HC-16-B8c	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	16S	C	1390-34-HC-16-h8c
1390-35-HC-16-h8d	HC-16-B8d	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	16S	D	1390-35-HC-16-h8d
