#sample-id	old_sample_ID	village	BSFF	treatment	DNA	repetition	description
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1390-36-HC-ITS-K6a	HC-ITS-K6a	karkom	yes	KARKOM_BSFF	ITS	A	1390-36-HC-ITS-K6a
1390-37-HC-ITS-K6b	HC-ITS-K6b	karkom	yes	KARKOM_BSFF	ITS	B	1390-37-HC-ITS-K6b
1390-38-HC-ITS-K6c	HC-ITS-K6c	karkom	yes	KARKOM_BSFF	ITS	C	1390-38-HC-ITS-K6c
1390-39-HC-ITS-K6d	HC-ITS-K6d	karkom	yes	KARKOM_BSFF	ITS	D	1390-39-HC-ITS-K6d
1390-40-HC-ITS-c	HC-ITS-c-	control	control	NULL_CONTROL	ITS	CONTROL	1390-40-HC-ITS-c
1390-41-HC-ITS-cplus	HC-ITS-c+	control	control	POSITIVE_CONTROL	ITS	CONTROL	1390-41-HC-ITS-cplus
1390-42-HC-ITS-h2o	HC-ITS-h2o	control	control	H20_CONTROL	ITS	CONTROL	1390-42-HC-ITS-h2o
1390-43-HC-ITS-K8a	HC-ITS-K8a	karkom	no	KARKOM_NO_BSFF	ITS	A	1390-43-HC-ITS-K8a
1390-44-HC-ITS-K8b	HC-ITS-K8b	karkom	no	KARKOM_NO_BSFF	ITS	B	1390-44-HC-ITS-K8b
1390-45-HC-ITS-K8c	HC-ITS-K8c	karkom	no	KARKOM_NO_BSFF	ITS	C	1390-45-HC-ITS-K8c
1390-46-HC-ITS-K8d	HC-ITS-K8d	karkom	no	KARKOM_NO_BSFF	ITS	D	1390-46-HC-ITS-K8d
1390-47-HC-ITS-T6a	HC-ITS-T6a	tsur_moshe	yes	TSUR_MOSHE_BSFF	ITS	A	1390-47-HC-ITS-T6a
1390-48-HC-ITS-T6b	HC-ITS-T6b	tsur_moshe	yes	TSUR_MOSHE_BSFF	ITS	B	1390-48-HC-ITS-T6b
1390-49-HC-ITS-T6c	HC-ITS-T6c	tsur_moshe	yes	TSUR_MOSHE_BSFF	ITS	C	1390-49-HC-ITS-T6c
1390-50-HC-ITS-T6d	HC-ITS-T6d	tsur_moshe	yes	TSUR_MOSHE_BSFF	ITS	D	1390-50-HC-ITS-T6d
1390-16-HC-16-T8a	HC-ITS-T8a	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	ITS	A	1390-16-HC-16-T8a
1390-17-HC-16-T8b	HC-ITS-T8b	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	ITS	B	1390-17-HC-16-T8b
1390-18-HC-16-T8c	HC-ITS-T8c	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	ITS	C	1390-18-HC-16-T8c
1390-19-HC-16-T8d	HC-ITS-T8d	tsur_moshe	no	TSUR_MOSHE_NO_BSFF	ITS	D	1390-19-HC-16-T8d
1390-28-HC-16-h6a	HC-ITS-H6a	hodaya	yes	HODAYA_BSFF	ITS	A	1390-28-HC-16-h6a
1390-29-HC-16-h6b	HC-ITS-H6b	hodaya	yes	HODAYA_BSFF	ITS	B	1390-29-HC-16-h6b
1390-30-HC-16-h6c	HC-ITS-H6c	hodaya	yes	HODAYA_BSFF	ITS	C	1390-30-HC-16-h6c
1390-31-HC-16-h6d	HC-ITS-H6d	hodaya	yes	HODAYA_BSFF	ITS	D	1390-31-HC-16-h6d
1390-32-HC-16-h8a	HC-ITS-H8a	hodaya	no	HODAYA_NO_BSFF	ITS	A	1390-32-HC-16-h8a
1390-33-HC-16-h8b	HC-ITS-H8b	hodaya	no	HODAYA_NO_BSFF	ITS	B	1390-33-HC-16-h8b
1390-34-HC-16-h8c	HC-ITS-H8c	hodaya	no	HODAYA_NO_BSFF	ITS	C	1390-34-HC-16-h8c
1390-35-HC-16-h8d	HC-ITS-H8d	hodaya	no	HODAYA_NO_BSFF	ITS	D	1390-35-HC-16-h8d
1390-20-HC-16-B6a	HC-ITS-B6a	beit_itschak	yes	BEIT_ITSCHAK_BSFF	ITS	A	1390-20-HC-16-B6a
1390-21-HC-16-B6b	HC-ITS-B6b	beit_itschak	yes	BEIT_ITSCHAK_BSFF	ITS	B	1390-21-HC-16-B6b
1390-22-HC-16-B6c	HC-ITS-B6c	beit_itschak	yes	BEIT_ITSCHAK_BSFF	ITS	C	1390-22-HC-16-B6c
1390-23-HC-16-B6d	HC-ITS-B6d	beit_itschak	yes	BEIT_ITSCHAK_BSFF	ITS	D	1390-23-HC-16-B6d
1390-24-HC-16-B8a	HC-ITS-B8a	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	ITS	A	1390-24-HC-16-B8a
1390-25-HC-16-B8b	HC-ITS-B8b	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	ITS	B	1390-25-HC-16-B8b
1390-26-HC-16-B8c	HC-ITS-B8c	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	ITS	C	1390-26-HC-16-B8c
1390-27-HC-16-B8d	HC-ITS-B8d	beit_itschak	no	BEIT_ITSCHAK_NO_BSFF	ITS	D	1390-27-HC-16-B8d
